Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,4.900000,4.920000,4.850000,4.920000,4.909732,3277000
2023-01-26,4.930000,4.950000,4.870000,4.950000,4.939670,4023400
2023-01-27,4.890000,4.920000,4.870000,4.900000,4.889774,1837200
2023-01-30,4.940000,4.960000,4.910000,4.930000,4.919711,3807500
2023-01-31,4.890000,4.910000,4.860000,4.890000,4.879795,3084300
2023-02-01,4.910000,4.940000,4.830000,4.920000,4.909732,2860800
2023-02-02,5.000000,5.090000,4.970000,5.090000,5.079378,3480600
2023-02-03,4.980000,5.010000,4.960000,4.990000,4.979586,2203300
2023-02-06,4.910000,4.920000,4.850000,4.860000,4.849858,1936700
2023-02-07,4.830000,4.870000,4.790000,4.860000,4.849858,1747800
2023-02-08,4.930000,4.950000,4.900000,4.900000,4.889774,1419600
2023-02-09,4.950000,4.970000,4.880000,4.890000,4.879795,976200
2023-02-10,4.880000,4.910000,4.850000,4.900000,4.889774,1383700
2023-02-13,4.840000,4.890000,4.840000,4.880000,4.869816,1552300
2023-02-14,4.890000,4.910000,4.840000,4.880000,4.869816,1479400
2023-02-15,4.900000,4.940000,4.860000,4.940000,4.929690,1434700
2023-02-16,4.930000,4.960000,4.890000,4.920000,4.909732,1665300
2023-02-17,4.880000,4.910000,4.810000,4.850000,4.839878,2374700
2023-02-21,4.790000,4.820000,4.770000,4.790000,4.780004,2333300
2023-02-22,4.730000,4.780000,4.730000,4.750000,4.740087,2282600
2023-02-23,4.740000,4.780000,4.730000,4.770000,4.760045,1246600
2023-02-24,4.710000,4.720000,4.680000,4.700000,4.690191,1391100
2023-02-27,4.690000,4.710000,4.650000,4.670000,4.660254,1974600
2023-02-28,4.630000,4.710000,4.630000,4.670000,4.660254,2399900
2023-03-01,4.730000,4.730000,4.660000,4.680000,4.670233,1500300
2023-03-02,4.650000,4.740000,4.650000,4.740000,4.730108,1977200
2023-03-03,4.760000,4.810000,4.740000,4.810000,4.799962,930400
2023-03-06,4.820000,4.880000,4.820000,4.860000,4.849858,1130400
2023-03-07,4.860000,4.870000,4.770000,4.780000,4.770025,1369800
2023-03-08,4.800000,4.820000,4.770000,4.820000,4.809941,1191500
2023-03-09,4.750000,4.800000,4.720000,4.730000,4.720129,1451900
2023-03-10,4.760000,4.770000,4.680000,4.690000,4.680212,1394100
2023-03-13,4.640000,4.710000,4.620000,4.670000,4.660254,2307500
2023-03-14,4.620000,4.690000,4.620000,4.660000,4.650275,1722700
2023-03-15,4.500000,4.540000,4.470000,4.540000,4.530525,2051300
2023-03-16,4.490000,4.620000,4.490000,4.610000,4.600379,1911100
2023-03-17,4.580000,4.590000,4.540000,4.570000,4.560463,1817300
